name,position
"Shai Gilgeous-Alexander, OKC",Guard
"Luka Doncic, LAL",Guard
"Anthony Edwards, MIN",Guard
"Stephen Curry, GSW",Guard
"Jalen Brunson, NYK",Guard
"Cade Cunningham, DET",Guard
"Donovan Mitchell, CLE",Guard
"Devin Booker, PHX",Guard
"James Harden, LAC",Guard
"Derrick White, BOS",Guard
"Tyrese Maxey, PHI",Guard
"Trae Young, ATL",Guard
"Ja Morant, MEM",Guard
"Deâ€™Aaron Fox, SAS",Guard
"Darius Garland, CLE",Guard
"Desmond Bane, ORL",Guard
"Jamal Murray, DEN",Guard
"Alex Caruso, OKC",Guard
"Dyson Daniels, ATL",Guard
"Jalen Suggs, ORL",Guard
"Austin Reaves, LAL",Guard
"Christian Braun, DEN",Guard
"LaMelo Ball, CHA",Guard
"Tyler Herro, MIA",Guard
"Coby White, CHI",Guard
"Zach LaVine, SAC",Guard
"Andrew Nembhard, IND",Guard
"Norman Powell, MIA",Guard
"Jaden Ivey, DET",Guard
"Bradley Beal, LAC",Guard
"LeBron James, LAL",Wing
"Kevin Durant, HOU",Wing
"Jalen Williams, OKC",Wing
"Jimmy Butler III, GSW",Wing
"Jaylen Brown, BOS",Wing
"Kawhi Leonard, LAC",Wing
"Scottie Barnes, TOR",Wing
"Franz Wagner, ORL",Wing
"Amen Thompson, HOU",Wing
"Aaron Gordon, DEN",Wing
"OG Anunoby, NYK",Wing
"Lauri Markkanen, UTA",Wing
"Jalen Johnson, ATL",Wing
"Mikal Bridges, NYK",Wing
"Draymond Green, GSW",Wing
"Cooper Flagg, DAL",Wing
"Paul George, PHI",Wing
"Trey Murphy III, NOP",Wing
"Luguentz Dort, OKC",Wing
"Aaron Nesmith, IND",Wing
"Deni Avdija, POR",Wing
"Josh Hart, NYK",Wing
"Michael Porter Jr., BKN",Wing
"Jaden McDaniels, MIN",Wing
"Brandon Miller, CHA",Wing
"Brandon Ingram, TOR",Wing
"DeMar DeRozan, SAC",Wing
"Jonathan Kuminga, GSW",Wing
"Tobias Harris, DET",Wing
"Andrew Wiggins, MIA",Wing
"Nikola Jokic, DEN",Post
"Giannis Antetokounmpo, MIL",Post
"Victor Wembanyama, SAS",Post
"Evan Mobley, CLE",Post
"Anthony Davis, DAL",Post
"Paolo Banchero, ORL",Post
"Bam Adebayo, MIA",Post
"Pascal Siakam, IND",Post
"Chet Holmgren, OKC",Post
"Alperen Sengun, HOU",Post
"Karl-Anthony Towns, NYK",Post
"Jaren Jackson Jr., MEM",Post
"Domantas Sabonis, SAC",Post
"Ivica Zubac, LAC",Post
"Julius Randle, MIN",Post
"Jarrett Allen, CLE",Post
"Joel Embiid, PHI",Post
"Rudy Gobert, MIN",Post
"Kristaps Porzingis, ATL",Post
"Isaiah Hartenstein, OKC",Post
"Myles Tuner, MIL",Post
"Zion Williamson, NOP",Post
"Cameron Johnson, DEN",Post
"Dereck Lively II, DAL",Post
"Jabari Smith Jr., HOU",Post
"Toumani Camara, POR",Post
"Onyeka Okongwu, ATL",Post
"Jonas Valanciunas, DEN",Post
"Zach Edey, MEM",Post
"Naz Reid, MIN",Post
