team,player,wage,choice,season,conference,outcome,correct,points
Portland Trail Blazers,Chester,14,OVER,2020-21,,OVER,True,14
Portland Trail Blazers,Jake,12,OVER,2020-21,,OVER,True,12
Portland Trail Blazers,Jenelle,12,OVER,2020-21,,OVER,True,12
Portland Trail Blazers,Adonis,12,OVER,2020-21,,OVER,True,12
Portland Trail Blazers,Mike,12,OVER,2020-21,,OVER,True,12
Portland Trail Blazers,Mary,11,OVER,2020-21,,OVER,True,11
Portland Trail Blazers,Ryan,10,OVER,2020-21,,OVER,True,10
Portland Trail Blazers,Phil,8,OVER,2020-21,,OVER,True,8
Brooklyn Nets,Mary,6,OVER,2020-21,,OVER,True,6
Brooklyn Nets,Chester,15,UNDER,2020-21,,OVER,False,-15
Brooklyn Nets,Ryan,14,UNDER,2020-21,,OVER,False,-14
Brooklyn Nets,Jenelle,9,UNDER,2020-21,,OVER,False,-9
Brooklyn Nets,Phil,8,UNDER,2020-21,,OVER,False,-8
Brooklyn Nets,Jake,7,UNDER,2020-21,,OVER,False,-7
Brooklyn Nets,Adonis,7,UNDER,2020-21,,OVER,False,-7
Brooklyn Nets,Mike,7,UNDER,2020-21,,OVER,False,-7
New Orleans Pelicans,Ryan,8,OVER,2020-21,,UNDER,False,-8
New Orleans Pelicans,Mike,15,UNDER,2020-21,,UNDER,True,15
New Orleans Pelicans,Jake,14,UNDER,2020-21,,UNDER,True,14
New Orleans Pelicans,Adonis,12,UNDER,2020-21,,UNDER,True,12
New Orleans Pelicans,Jenelle,11,UNDER,2020-21,,UNDER,True,11
New Orleans Pelicans,Phil,10,UNDER,2020-21,,UNDER,True,10
New Orleans Pelicans,Mary,8,UNDER,2020-21,,UNDER,True,8
New Orleans Pelicans,Chester,7,UNDER,2020-21,,UNDER,True,7
Washington Wizards,Mike,15,OVER,2020-21,,OVER,True,15
Washington Wizards,Jake,14,OVER,2020-21,,OVER,True,14
Washington Wizards,Adonis,14,OVER,2020-21,,OVER,True,14
Washington Wizards,Jenelle,11,OVER,2020-21,,OVER,True,11
Washington Wizards,Phil,11,OVER,2020-21,,OVER,True,11
Washington Wizards,Mary,9,OVER,2020-21,,OVER,True,9
Washington Wizards,Ryan,7,OVER,2020-21,,OVER,True,7
Washington Wizards,Chester,8,UNDER,2020-21,,OVER,False,-8
Oklahoma City Thunder,Mary,10,OVER,2020-21,,UNDER,False,-10
Oklahoma City Thunder,Adonis,15,UNDER,2020-21,,UNDER,True,15
Oklahoma City Thunder,Mike,14,UNDER,2020-21,,UNDER,True,14
Oklahoma City Thunder,Jake,12,UNDER,2020-21,,UNDER,True,12
Oklahoma City Thunder,Jenelle,11,UNDER,2020-21,,UNDER,True,11
Oklahoma City Thunder,Chester,8,UNDER,2020-21,,UNDER,True,8
Oklahoma City Thunder,Phil,7,UNDER,2020-21,,UNDER,True,7
Oklahoma City Thunder,Ryan,6,UNDER,2020-21,,UNDER,True,6
New York Knicks,Chester,12,OVER,2020-21,,OVER,True,12
New York Knicks,Adonis,14,UNDER,2020-21,,OVER,False,-14
New York Knicks,Mary,12,UNDER,2020-21,,OVER,False,-12
New York Knicks,Mike,11,UNDER,2020-21,,OVER,False,-11
New York Knicks,Jake,7,UNDER,2020-21,,OVER,False,-7
New York Knicks,Jenelle,7,UNDER,2020-21,,OVER,False,-7
New York Knicks,Ryan,6,UNDER,2020-21,,OVER,False,-6
New York Knicks,Phil,6,UNDER,2020-21,,OVER,False,-6
Denver Nuggets,Ryan,15,OVER,2020-21,,OVER,True,15
Denver Nuggets,Mike,14,OVER,2020-21,,OVER,True,14
Denver Nuggets,Mary,14,OVER,2020-21,,OVER,True,14
Denver Nuggets,Chester,13,OVER,2020-21,,OVER,True,13
Denver Nuggets,Phil,12,OVER,2020-21,,OVER,True,12
Denver Nuggets,Jenelle,9,OVER,2020-21,,OVER,True,9
Denver Nuggets,Jake,8,OVER,2020-21,,OVER,True,8
Denver Nuggets,Adonis,9,UNDER,2020-21,,OVER,False,-9
Phoenix Suns,Jenelle,15,OVER,2020-21,,OVER,True,15
Phoenix Suns,Jake,14,OVER,2020-21,,OVER,True,14
Phoenix Suns,Mary,14,OVER,2020-21,,OVER,True,14
Phoenix Suns,Mike,12,OVER,2020-21,,OVER,True,12
Phoenix Suns,Phil,12,OVER,2020-21,,OVER,True,12
Phoenix Suns,Ryan,11,OVER,2020-21,,OVER,True,11
Phoenix Suns,Adonis,9,OVER,2020-21,,OVER,True,9
Phoenix Suns,Chester,12,UNDER,2020-21,,OVER,False,-12
Houston Rockets,Jenelle,8,OVER,2020-21,,UNDER,False,-8
Houston Rockets,Chester,6,OVER,2020-21,,UNDER,False,-6
Houston Rockets,Mary,13,UNDER,2020-21,,UNDER,True,13
Houston Rockets,Ryan,12,UNDER,2020-21,,UNDER,True,12
Houston Rockets,Phil,12,UNDER,2020-21,,UNDER,True,12
Houston Rockets,Jake,11,UNDER,2020-21,,UNDER,True,11
Houston Rockets,Adonis,8,UNDER,2020-21,,UNDER,True,8
Houston Rockets,Mike,6,UNDER,2020-21,,UNDER,True,6
Sacramento Kings,Chester,10,OVER,2020-21,,OVER,True,10
Sacramento Kings,Jake,8,OVER,2020-21,,OVER,True,8
Sacramento Kings,Mike,14,UNDER,2020-21,,OVER,False,-14
Sacramento Kings,Ryan,9,UNDER,2020-21,,OVER,False,-9
Sacramento Kings,Mary,9,UNDER,2020-21,,OVER,False,-9
Sacramento Kings,Adonis,8,UNDER,2020-21,,OVER,False,-8
Sacramento Kings,Jenelle,6,UNDER,2020-21,,OVER,False,-6
Sacramento Kings,Phil,6,UNDER,2020-21,,OVER,False,-6
Orlando Magic,Phil,11,OVER,2020-21,,UNDER,False,-11
Orlando Magic,Adonis,10,OVER,2020-21,,UNDER,False,-10
Orlando Magic,Chester,14,UNDER,2020-21,,UNDER,True,14
Orlando Magic,Jake,12,UNDER,2020-21,,UNDER,True,12
Orlando Magic,Jenelle,12,UNDER,2020-21,,UNDER,True,12
Orlando Magic,Mike,10,UNDER,2020-21,,UNDER,True,10
Orlando Magic,Mary,9,UNDER,2020-21,,UNDER,True,9
Orlando Magic,Ryan,7,UNDER,2020-21,,UNDER,True,7
Memphis Grizzlies,Jenelle,10,OVER,2020-21,,OVER,True,10
Memphis Grizzlies,Phil,9,OVER,2020-21,,OVER,True,9
Memphis Grizzlies,Adonis,8,OVER,2020-21,,OVER,True,8
Memphis Grizzlies,Mary,8,OVER,2020-21,,OVER,True,8
Memphis Grizzlies,Chester,10,UNDER,2020-21,,OVER,False,-10
Memphis Grizzlies,Ryan,8,UNDER,2020-21,,OVER,False,-8
Memphis Grizzlies,Mike,7,UNDER,2020-21,,OVER,False,-7
Memphis Grizzlies,Jake,6,UNDER,2020-21,,OVER,False,-6
Los Angeles Clippers,Ryan,12,OVER,2020-21,,OVER,True,12
Los Angeles Clippers,Phil,10,OVER,2020-21,,OVER,True,10
Los Angeles Clippers,Jake,9,OVER,2020-21,,OVER,True,9
Los Angeles Clippers,Chester,11,UNDER,2020-21,,OVER,False,-11
Los Angeles Clippers,Jenelle,7,UNDER,2020-21,,OVER,False,-7
Los Angeles Clippers,Mary,7,UNDER,2020-21,,OVER,False,-7
Los Angeles Clippers,Adonis,6,UNDER,2020-21,,OVER,False,-6
Los Angeles Clippers,Mike,6,UNDER,2020-21,,OVER,False,-6
San Antonio Spurs,Jenelle,14,OVER,2020-21,,OVER,True,14
San Antonio Spurs,Jake,13,OVER,2020-21,,OVER,True,13
San Antonio Spurs,Phil,9,OVER,2020-21,,OVER,True,9
San Antonio Spurs,Adonis,6,OVER,2020-21,,OVER,True,6
San Antonio Spurs,Ryan,6,OVER,2020-21,,OVER,True,6
San Antonio Spurs,Chester,10,UNDER,2020-21,,OVER,False,-10
San Antonio Spurs,Mike,8,UNDER,2020-21,,OVER,False,-8
San Antonio Spurs,Mary,7,UNDER,2020-21,,OVER,False,-7
Cleveland Cavaliers,Ryan,9,OVER,2020-21,,UNDER,False,-9
Cleveland Cavaliers,Jenelle,8,OVER,2020-21,,UNDER,False,-8
Cleveland Cavaliers,Chester,7,OVER,2020-21,,UNDER,False,-7
Cleveland Cavaliers,Adonis,13,UNDER,2020-21,,UNDER,True,13
Cleveland Cavaliers,Mary,12,UNDER,2020-21,,UNDER,True,12
Cleveland Cavaliers,Mike,11,UNDER,2020-21,,UNDER,True,11
Cleveland Cavaliers,Jake,8,UNDER,2020-21,,UNDER,True,8
Cleveland Cavaliers,Phil,8,UNDER,2020-21,,UNDER,True,8
Philadelphia 76ers,Ryan,13,OVER,2020-21,,OVER,True,13
Philadelphia 76ers,Adonis,11,OVER,2020-21,,OVER,True,11
Philadelphia 76ers,Jake,7,OVER,2020-21,,OVER,True,7
Philadelphia 76ers,Chester,6,OVER,2020-21,,OVER,True,6
Philadelphia 76ers,Phil,11,UNDER,2020-21,,OVER,False,-11
Philadelphia 76ers,Mike,9,UNDER,2020-21,,OVER,False,-9
Philadelphia 76ers,Jenelle,7,UNDER,2020-21,,OVER,False,-7
Philadelphia 76ers,Mary,6,UNDER,2020-21,,OVER,False,-6
Los Angeles Lakers,Adonis,15,OVER,2020-21,,UNDER,False,-15
Los Angeles Lakers,Chester,15,OVER,2020-21,,UNDER,False,-15
Los Angeles Lakers,Mary,15,OVER,2020-21,,UNDER,False,-15
Los Angeles Lakers,Phil,15,OVER,2020-21,,UNDER,False,-15
Los Angeles Lakers,Mike,11,OVER,2020-21,,UNDER,False,-11
Los Angeles Lakers,Jake,9,OVER,2020-21,,UNDER,False,-9
Los Angeles Lakers,Ryan,15,UNDER,2020-21,,UNDER,True,15
Los Angeles Lakers,Jenelle,6,UNDER,2020-21,,UNDER,True,6
Utah Jazz,Jake,15,OVER,2020-21,,OVER,True,15
Utah Jazz,Jenelle,15,OVER,2020-21,,OVER,True,15
Utah Jazz,Ryan,14,OVER,2020-21,,OVER,True,14
Utah Jazz,Mary,11,OVER,2020-21,,OVER,True,11
Utah Jazz,Mike,6,OVER,2020-21,,OVER,True,6
Utah Jazz,Adonis,9,UNDER,2020-21,,OVER,False,-9
Utah Jazz,Chester,6,UNDER,2020-21,,OVER,False,-6
Utah Jazz,Phil,6,UNDER,2020-21,,OVER,False,-6
Golden State Warriors,Jenelle,14,OVER,2020-21,,OVER,True,14
Golden State Warriors,Chester,13,OVER,2020-21,,OVER,True,13
Golden State Warriors,Ryan,12,OVER,2020-21,,OVER,True,12
Golden State Warriors,Adonis,11,OVER,2020-21,,OVER,True,11
Golden State Warriors,Jake,10,OVER,2020-21,,OVER,True,10
Golden State Warriors,Mike,7,OVER,2020-21,,OVER,True,7
Golden State Warriors,Phil,15,UNDER,2020-21,,OVER,False,-15
Golden State Warriors,Mary,12,UNDER,2020-21,,OVER,False,-12
Detroit Pistons,Mike,10,OVER,2020-21,,UNDER,False,-10
Detroit Pistons,Jenelle,10,OVER,2020-21,,UNDER,False,-10
Detroit Pistons,Mary,10,OVER,2020-21,,UNDER,False,-10
Detroit Pistons,Jake,6,OVER,2020-21,,UNDER,False,-6
Detroit Pistons,Chester,12,UNDER,2020-21,,UNDER,True,12
Detroit Pistons,Adonis,10,UNDER,2020-21,,UNDER,True,10
Detroit Pistons,Phil,9,UNDER,2020-21,,UNDER,True,9
Detroit Pistons,Ryan,8,UNDER,2020-21,,UNDER,True,8
Boston Celtics,Phil,10,OVER,2020-21,,UNDER,False,-10
Boston Celtics,Chester,9,OVER,2020-21,,UNDER,False,-9
Boston Celtics,Adonis,7,OVER,2020-21,,UNDER,False,-7
Boston Celtics,Ryan,14,UNDER,2020-21,,UNDER,True,14
Boston Celtics,Jake,13,UNDER,2020-21,,UNDER,True,13
Boston Celtics,Mike,13,UNDER,2020-21,,UNDER,True,13
Boston Celtics,Jenelle,12,UNDER,2020-21,,UNDER,True,12
Boston Celtics,Mary,6,UNDER,2020-21,,UNDER,True,6
Dallas Mavericks,Jake,13,OVER,2020-21,,UNDER,False,-13
Dallas Mavericks,Jenelle,13,OVER,2020-21,,UNDER,False,-13
Dallas Mavericks,Chester,13,OVER,2020-21,,UNDER,False,-13
Dallas Mavericks,Mary,13,OVER,2020-21,,UNDER,False,-13
Dallas Mavericks,Mike,12,OVER,2020-21,,UNDER,False,-12
Dallas Mavericks,Adonis,11,OVER,2020-21,,UNDER,False,-11
Dallas Mavericks,Ryan,13,UNDER,2020-21,,UNDER,True,13
Dallas Mavericks,Phil,13,UNDER,2020-21,,UNDER,True,13
Atlanta Hawks,Mary,15,OVER,2020-21,,OVER,True,15
Atlanta Hawks,Mike,13,OVER,2020-21,,OVER,True,13
Atlanta Hawks,Chester,11,OVER,2020-21,,OVER,True,11
Atlanta Hawks,Jake,10,OVER,2020-21,,OVER,True,10
Atlanta Hawks,Phil,7,OVER,2020-21,,OVER,True,7
Atlanta Hawks,Adonis,10,UNDER,2020-21,,OVER,False,-10
Atlanta Hawks,Ryan,10,UNDER,2020-21,,OVER,False,-10
Atlanta Hawks,Jenelle,8,UNDER,2020-21,,OVER,False,-8
Indiana Pacers,Mary,13,OVER,2020-21,,UNDER,False,-13
Indiana Pacers,Phil,13,OVER,2020-21,,UNDER,False,-13
Indiana Pacers,Adonis,12,OVER,2020-21,,UNDER,False,-12
Indiana Pacers,Mike,9,OVER,2020-21,,UNDER,False,-9
Indiana Pacers,Jake,6,OVER,2020-21,,UNDER,False,-6
Indiana Pacers,Chester,15,UNDER,2020-21,,UNDER,True,15
Indiana Pacers,Ryan,10,UNDER,2020-21,,UNDER,True,10
Indiana Pacers,Jenelle,6,UNDER,2020-21,,UNDER,True,6
Toronto Raptors,Jake,15,OVER,2020-21,,UNDER,False,-15
Toronto Raptors,Jenelle,15,OVER,2020-21,,UNDER,False,-15
Toronto Raptors,Phil,13,OVER,2020-21,,UNDER,False,-13
Toronto Raptors,Mary,8,OVER,2020-21,,UNDER,False,-8
Toronto Raptors,Ryan,7,OVER,2020-21,,UNDER,False,-7
Toronto Raptors,Adonis,13,UNDER,2020-21,,UNDER,True,13
Toronto Raptors,Chester,9,UNDER,2020-21,,UNDER,True,9
Toronto Raptors,Mike,8,UNDER,2020-21,,UNDER,True,8
Charlotte Hornets,Jenelle,13,OVER,2020-21,,OVER,True,13
Charlotte Hornets,Jake,11,OVER,2020-21,,OVER,True,11
Charlotte Hornets,Mike,10,OVER,2020-21,,OVER,True,10
Charlotte Hornets,Chester,7,OVER,2020-21,,OVER,True,7
Charlotte Hornets,Adonis,15,UNDER,2020-21,,OVER,False,-15
Charlotte Hornets,Mary,11,UNDER,2020-21,,OVER,False,-11
Charlotte Hornets,Ryan,9,UNDER,2020-21,,OVER,False,-9
Charlotte Hornets,Phil,7,UNDER,2020-21,,OVER,False,-7
Miami Heat,Mary,15,OVER,2020-21,,UNDER,False,-15
Miami Heat,Phil,14,OVER,2020-21,,UNDER,False,-14
Miami Heat,Chester,11,OVER,2020-21,,UNDER,False,-11
Miami Heat,Ryan,13,UNDER,2020-21,,UNDER,True,13
Miami Heat,Jenelle,10,UNDER,2020-21,,UNDER,True,10
Miami Heat,Jake,9,UNDER,2020-21,,UNDER,True,9
Miami Heat,Mike,9,UNDER,2020-21,,UNDER,True,9
Miami Heat,Adonis,6,UNDER,2020-21,,UNDER,True,6
Milwaukee Bucks,Ryan,15,OVER,2020-21,,UNDER,False,-15
Milwaukee Bucks,Phil,14,OVER,2020-21,,UNDER,False,-14
Milwaukee Bucks,Mike,13,OVER,2020-21,,UNDER,False,-13
Milwaukee Bucks,Jake,10,OVER,2020-21,,UNDER,False,-10
Milwaukee Bucks,Jenelle,13,UNDER,2020-21,,UNDER,True,13
Milwaukee Bucks,Chester,9,UNDER,2020-21,,UNDER,True,9
Milwaukee Bucks,Adonis,7,UNDER,2020-21,,UNDER,True,7
Milwaukee Bucks,Mary,7,UNDER,2020-21,,UNDER,True,7
Minnesota Timberwolves,Jake,15,OVER,2020-21,,UNDER,False,-15
Minnesota Timberwolves,Mike,15,OVER,2020-21,,UNDER,False,-15
Minnesota Timberwolves,Jenelle,14,OVER,2020-21,,UNDER,False,-14
Minnesota Timberwolves,Adonis,13,OVER,2020-21,,UNDER,False,-13
Minnesota Timberwolves,Chester,8,OVER,2020-21,,UNDER,False,-8
Minnesota Timberwolves,Phil,15,UNDER,2020-21,,UNDER,True,15
Minnesota Timberwolves,Ryan,11,UNDER,2020-21,,UNDER,True,11
Minnesota Timberwolves,Mary,10,UNDER,2020-21,,UNDER,True,10
Chicago Bulls,Chester,14,OVER,2020-21,,OVER,True,14
Chicago Bulls,Mary,14,OVER,2020-21,,OVER,True,14
Chicago Bulls,Ryan,11,OVER,2020-21,,OVER,True,11
Chicago Bulls,Jenelle,9,OVER,2020-21,,OVER,True,9
Chicago Bulls,Adonis,14,UNDER,2020-21,,OVER,False,-14
Chicago Bulls,Phil,14,UNDER,2020-21,,OVER,False,-14
Chicago Bulls,Jake,11,UNDER,2020-21,,OVER,False,-11
Chicago Bulls,Mike,8,UNDER,2020-21,,OVER,False,-8
Atlanta Hawks,Adonis,6,UNDER,2021-22,East,UNDER,True,6
Atlanta Hawks,Chester,15,OVER,2021-22,East,UNDER,False,-15
Atlanta Hawks,Jake,10,UNDER,2021-22,East,UNDER,True,10
Atlanta Hawks,Jenelle,6,UNDER,2021-22,East,UNDER,True,6
Atlanta Hawks,Mary,10,OVER,2021-22,East,UNDER,False,-10
Atlanta Hawks,Mike,14,OVER,2021-22,East,UNDER,False,-14
Atlanta Hawks,Phil,15,OVER,2021-22,East,UNDER,False,-15
Atlanta Hawks,Ryan,13,OVER,2021-22,East,UNDER,False,-13
Boston Celtics,Adonis,12,OVER,2021-22,East,OVER,True,12
Boston Celtics,Chester,9,UNDER,2021-22,East,OVER,False,-9
Boston Celtics,Jake,11,OVER,2021-22,East,OVER,True,11
Boston Celtics,Jenelle,7,OVER,2021-22,East,OVER,True,7
Boston Celtics,Mary,13,OVER,2021-22,East,OVER,True,13
Boston Celtics,Mike,9,OVER,2021-22,East,OVER,True,9
Boston Celtics,Phil,11,OVER,2021-22,East,OVER,True,11
Boston Celtics,Ryan,12,OVER,2021-22,East,OVER,True,12
Brooklyn Nets,Adonis,6,UNDER,2021-22,East,UNDER,True,6
Brooklyn Nets,Chester,11,UNDER,2021-22,East,UNDER,True,11
Brooklyn Nets,Jake,6,UNDER,2021-22,East,UNDER,True,6
Brooklyn Nets,Jenelle,15,UNDER,2021-22,East,UNDER,True,15
Brooklyn Nets,Mary,8,OVER,2021-22,East,UNDER,False,-8
Brooklyn Nets,Mike,12,UNDER,2021-22,East,UNDER,True,12
Brooklyn Nets,Phil,11,OVER,2021-22,East,UNDER,False,-11
Brooklyn Nets,Ryan,13,OVER,2021-22,East,UNDER,False,-13
Charlotte Hornets,Adonis,11,UNDER,2021-22,East,OVER,False,-11
Charlotte Hornets,Chester,12,OVER,2021-22,East,OVER,True,12
Charlotte Hornets,Jake,7,UNDER,2021-22,East,OVER,False,-7
Charlotte Hornets,Jenelle,13,UNDER,2021-22,East,OVER,False,-13
Charlotte Hornets,Mary,8,UNDER,2021-22,East,OVER,False,-8
Charlotte Hornets,Mike,11,OVER,2021-22,East,OVER,True,11
Charlotte Hornets,Phil,12,UNDER,2021-22,East,OVER,False,-12
Charlotte Hornets,Ryan,10,UNDER,2021-22,East,OVER,False,-10
Chicago Bulls,Adonis,10,OVER,2021-22,East,OVER,True,10
Chicago Bulls,Chester,15,OVER,2021-22,East,OVER,True,15
Chicago Bulls,Jake,15,OVER,2021-22,East,OVER,True,15
Chicago Bulls,Jenelle,14,OVER,2021-22,East,OVER,True,14
Chicago Bulls,Mary,12,OVER,2021-22,East,OVER,True,12
Chicago Bulls,Mike,15,OVER,2021-22,East,OVER,True,15
Chicago Bulls,Phil,13,OVER,2021-22,East,OVER,True,13
Chicago Bulls,Ryan,15,OVER,2021-22,East,OVER,True,15
Cleveland Cavaliers,Adonis,14,UNDER,2021-22,East,OVER,False,-14
Cleveland Cavaliers,Chester,10,OVER,2021-22,East,OVER,True,10
Cleveland Cavaliers,Jake,13,UNDER,2021-22,East,OVER,False,-13
Cleveland Cavaliers,Jenelle,10,OVER,2021-22,East,OVER,True,10
Cleveland Cavaliers,Mary,15,OVER,2021-22,East,OVER,True,15
Cleveland Cavaliers,Mike,11,OVER,2021-22,East,OVER,True,11
Cleveland Cavaliers,Phil,12,UNDER,2021-22,East,OVER,False,-12
Cleveland Cavaliers,Ryan,8,UNDER,2021-22,East,OVER,False,-8
Detroit Pistons,Adonis,14,UNDER,2021-22,East,UNDER,True,14
Detroit Pistons,Chester,13,OVER,2021-22,East,UNDER,False,-13
Detroit Pistons,Jake,9,UNDER,2021-22,East,UNDER,True,9
Detroit Pistons,Jenelle,9,UNDER,2021-22,East,UNDER,True,9
Detroit Pistons,Mary,7,UNDER,2021-22,East,UNDER,True,7
Detroit Pistons,Mike,7,OVER,2021-22,East,UNDER,False,-7
Detroit Pistons,Phil,10,OVER,2021-22,East,UNDER,False,-10
Detroit Pistons,Ryan,7,OVER,2021-22,East,UNDER,False,-7
Indiana Pacers,Adonis,7,OVER,2021-22,East,UNDER,False,-7
Indiana Pacers,Chester,14,OVER,2021-22,East,UNDER,False,-14
Indiana Pacers,Jake,15,OVER,2021-22,East,UNDER,False,-15
Indiana Pacers,Jenelle,14,OVER,2021-22,East,UNDER,False,-14
Indiana Pacers,Mary,14,OVER,2021-22,East,UNDER,False,-14
Indiana Pacers,Mike,10,OVER,2021-22,East,UNDER,False,-10
Indiana Pacers,Phil,10,UNDER,2021-22,East,UNDER,True,10
Indiana Pacers,Ryan,11,OVER,2021-22,East,UNDER,False,-11
Miami Heat,Adonis,12,OVER,2021-22,East,OVER,True,12
Miami Heat,Chester,12,OVER,2021-22,East,OVER,True,12
Miami Heat,Jake,9,OVER,2021-22,East,OVER,True,9
Miami Heat,Jenelle,8,OVER,2021-22,East,OVER,True,8
Miami Heat,Mary,15,OVER,2021-22,East,OVER,True,15
Miami Heat,Mike,9,OVER,2021-22,East,OVER,True,9
Miami Heat,Phil,8,UNDER,2021-22,East,OVER,False,-8
Miami Heat,Ryan,10,UNDER,2021-22,East,OVER,False,-10
Milwaukee Bucks,Adonis,12,OVER,2021-22,East,UNDER,False,-12
Milwaukee Bucks,Chester,12,UNDER,2021-22,East,UNDER,True,12
Milwaukee Bucks,Jake,6,OVER,2021-22,East,UNDER,False,-6
Milwaukee Bucks,Jenelle,14,UNDER,2021-22,East,UNDER,True,14
Milwaukee Bucks,Mary,14,OVER,2021-22,East,UNDER,False,-14
Milwaukee Bucks,Mike,12,UNDER,2021-22,East,UNDER,True,12
Milwaukee Bucks,Phil,6,UNDER,2021-22,East,UNDER,True,6
Milwaukee Bucks,Ryan,12,UNDER,2021-22,East,UNDER,True,12
New York Knicks,Adonis,10,UNDER,2021-22,East,UNDER,True,10
New York Knicks,Chester,13,OVER,2021-22,East,UNDER,False,-13
New York Knicks,Jake,7,OVER,2021-22,East,UNDER,False,-7
New York Knicks,Jenelle,11,UNDER,2021-22,East,UNDER,True,11
New York Knicks,Mary,9,UNDER,2021-22,East,UNDER,True,9
New York Knicks,Mike,7,OVER,2021-22,East,UNDER,False,-7
New York Knicks,Phil,7,UNDER,2021-22,East,UNDER,True,7
New York Knicks,Ryan,15,OVER,2021-22,East,UNDER,False,-15
Orlando Magic,Adonis,15,UNDER,2021-22,East,UNDER,True,15
Orlando Magic,Chester,7,UNDER,2021-22,East,UNDER,True,7
Orlando Magic,Jake,8,UNDER,2021-22,East,UNDER,True,8
Orlando Magic,Jenelle,6,OVER,2021-22,East,UNDER,False,-6
Orlando Magic,Mary,6,OVER,2021-22,East,UNDER,False,-6
Orlando Magic,Mike,6,UNDER,2021-22,East,UNDER,True,6
Orlando Magic,Phil,10,UNDER,2021-22,East,UNDER,True,10
Orlando Magic,Ryan,9,UNDER,2021-22,East,UNDER,True,9
Philadelphia 76ers,Adonis,7,OVER,2021-22,East,OVER,True,7
Philadelphia 76ers,Chester,6,OVER,2021-22,East,OVER,True,6
Philadelphia 76ers,Jake,15,UNDER,2021-22,East,OVER,False,-15
Philadelphia 76ers,Jenelle,6,OVER,2021-22,East,OVER,True,6
Philadelphia 76ers,Mary,9,UNDER,2021-22,East,OVER,False,-9
Philadelphia 76ers,Mike,14,UNDER,2021-22,East,OVER,False,-14
Philadelphia 76ers,Phil,9,OVER,2021-22,East,OVER,True,9
Philadelphia 76ers,Ryan,14,OVER,2021-22,East,OVER,True,14
Toronto Raptors,Adonis,8,UNDER,2021-22,East,OVER,False,-8
Toronto Raptors,Chester,14,OVER,2021-22,East,OVER,True,14
Toronto Raptors,Jake,7,UNDER,2021-22,East,OVER,False,-7
Toronto Raptors,Jenelle,7,OVER,2021-22,East,OVER,True,7
Toronto Raptors,Mary,11,UNDER,2021-22,East,OVER,False,-11
Toronto Raptors,Mike,15,OVER,2021-22,East,OVER,True,15
Toronto Raptors,Phil,7,OVER,2021-22,East,OVER,True,7
Toronto Raptors,Ryan,11,UNDER,2021-22,East,OVER,False,-11
Washington Wizards,Adonis,14,OVER,2021-22,East,UNDER,False,-14
Washington Wizards,Chester,14,UNDER,2021-22,East,UNDER,True,14
Washington Wizards,Jake,13,UNDER,2021-22,East,UNDER,True,13
Washington Wizards,Jenelle,13,UNDER,2021-22,East,UNDER,True,13
Washington Wizards,Mary,12,OVER,2021-22,East,UNDER,False,-12
Washington Wizards,Mike,11,OVER,2021-22,East,UNDER,False,-11
Washington Wizards,Phil,14,OVER,2021-22,East,UNDER,False,-14
Washington Wizards,Ryan,9,UNDER,2021-22,East,UNDER,True,9
Dallas Mavericks,Adonis,6,UNDER,2021-22,East,OVER,False,-6
Dallas Mavericks,Chester,15,OVER,2021-22,East,OVER,True,15
Dallas Mavericks,Jake,8,UNDER,2021-22,East,OVER,False,-8
Dallas Mavericks,Jenelle,7,OVER,2021-22,East,OVER,True,7
